time,open,high,low,close,vwap,volume,count
2023-12-03 00:00:00+00:00,39477.1,40117.2,39299.0,39975.1,39662.8,2138.76982162,25997
2023-12-04 00:00:00+00:00,39975.1,42415.5,39476.0,41984.7,41352.6,7454.60030785,60143
2023-12-05 00:00:00+00:00,41983.0,44465.0,41427.1,44080.8,43021.0,5566.77459438,48519
2023-12-06 00:00:00+00:00,44080.8,44277.2,43335.5,43761.7,43875.7,3558.3081874,37862
2023-12-07 00:00:00+00:00,43761.7,44041.4,42885.0,43291.7,43452.5,2649.07280081,27193
2023-12-08 00:00:00+00:00,43288.1,44699.0,43120.1,44179.5,43813.6,3595.64137028,29015
2023-12-09 00:00:00+00:00,44179.6,44368.9,43606.0,43709.6,43986.0,1720.15913105,20049
2023-12-10 00:00:00+00:00,43709.7,44040.1,43587.6,43788.0,43816.1,1376.78752819,17220
2023-12-11 00:00:00+00:00,43788.0,43808.4,39999.0,41236.8,41587.8,6918.90506416,48591
2023-12-12 00:00:00+00:00,41236.9,42300.0,40662.4,41469.9,41512.9,3827.46433532,28685
2023-12-13 00:00:00+00:00,41470.0,43421.5,40606.6,42889.1,42131.0,3664.05069388,30052
2023-12-14 00:00:00+00:00,42889.1,43380.1,41359.0,43016.1,42760.3,3403.66028483,28367
2023-12-15 00:00:00+00:00,43016.1,43090.9,41697.5,41943.3,42429.4,2421.86125412,25033
2023-12-16 00:00:00+00:00,41943.3,42664.2,41648.8,42231.5,42224.3,1484.46531222,15154
2023-12-17 00:00:00+00:00,42231.5,42350.0,41238.0,41344.3,41880.6,2873.78647559,17247
2023-12-18 00:00:00+00:00,41344.4,42709.4,40515.9,42646.1,41520.7,3401.3447875,26546
2023-12-19 00:00:00+00:00,42644.7,43422.7,41820.0,42267.0,42607.6,3052.46535157,24918
2023-12-20 00:00:00+00:00,42267.1,44300.0,42231.2,43630.0,43620.5,4004.57037215,29328
2023-12-21 00:00:00+00:00,43630.0,44236.9,43329.6,43869.3,43777.3,2615.35161211,23990
2023-12-22 00:00:00+00:00,43869.4,44429.4,43450.1,43997.0,43815.8,2630.83766727,27294
2023-12-23 00:00:00+00:00,43997.0,43999.0,43314.0,43750.1,43697.9,1140.85980407,18437
2023-12-24 00:00:00+00:00,43750.1,43933.1,42680.0,43014.9,43520.6,2343.63343067,18418
2023-12-25 00:00:00+00:00,43014.9,43777.9,42765.0,43604.1,43365.0,1746.95178352,15998
2023-12-26 00:00:00+00:00,43604.1,43604.1,41637.1,42519.1,42524.0,3180.63617197,26339
2023-12-27 00:00:00+00:00,42519.1,43650.0,42150.2,43468.1,42994.2,2143.684396,20736
2023-12-28 00:00:00+00:00,43467.2,43792.3,42307.2,42616.4,42903.2,2766.35320471,26383
2023-12-29 00:00:00+00:00,42616.4,43135.8,41300.6,42097.9,42281.4,2612.44640079,27964
2023-12-30 00:00:00+00:00,42097.9,42577.2,41551.8,42150.0,42162.8,1306.55262626,16586
2023-12-31 00:00:00+00:00,42150.1,42874.4,41991.1,42241.1,42457.7,1509.62365704,15673
2024-01-01 00:00:00+00:00,42241.1,44187.5,42215.7,44180.8,43314.3,2457.30419634,19869
2024-01-02 00:00:00+00:00,44180.8,45913.4,44113.2,44972.0,45175.4,6462.5537177,45964
2024-01-03 00:00:00+00:00,44975.4,45509.3,39501.0,42849.5,42976.7,7003.5579979,59410
2024-01-04 00:00:00+00:00,42849.5,44784.9,42682.0,44211.9,43806.5,3461.20649181,34669
2024-01-05 00:00:00+00:00,44210.0,44365.0,42480.0,44179.9,43702.7,3371.04701335,37163
2024-01-06 00:00:00+00:00,44179.9,44241.8,43451.0,43960.0,43851.0,990.41936124,16180
2024-01-07 00:00:00+00:00,43960.0,44483.9,43648.1,43915.9,44117.1,1547.79663154,19115
2024-01-08 00:00:00+00:00,43915.9,47306.6,43208.5,46989.4,45271.9,6838.67422667,52738
2024-01-09 00:00:00+00:00,46989.5,47988.0,44500.0,46128.7,46421.2,8483.34519719,62186
2024-01-10 00:00:00+00:00,46128.7,47699.6,44331.8,46664.8,45968.2,8288.08064486,65957
2024-01-11 00:00:00+00:00,46678.1,49000.0,45619.1,46350.4,47006.5,7397.10583103,66493
2024-01-12 00:00:00+00:00,46350.4,46500.0,41476.0,42800.1,44211.1,9423.71540987,66644
2024-01-13 00:00:00+00:00,42800.1,43230.0,42459.8,42827.9,42852.4,1718.42082056,25811
2024-01-14 00:00:00+00:00,42827.9,43055.0,41717.0,41719.1,42573.2,2802.78187532,25058
2024-01-15 00:00:00+00:00,41717.1,43318.0,41700.0,42506.4,42589.8,2405.08532051,23846
2024-01-16 00:00:00+00:00,42499.3,43568.3,42042.1,43134.7,42961.5,2360.50106233,26322
2024-01-17 00:00:00+00:00,43134.7,43165.0,42190.2,42747.8,42597.0,2079.15524064,21927
2024-01-18 00:00:00+00:00,42746.1,42877.0,40625.0,41264.7,41618.5,3426.982335,28062
2024-01-19 00:00:00+00:00,41264.8,42140.3,40255.0,41611.9,41184.9,3578.28441991,27090
2024-01-20 00:00:00+00:00,41611.9,41800.0,40000.0,41650.0,41332.4,827.74780718,10244
2024-01-21 00:00:00+00:00,41649.9,42260.0,41482.8,41554.7,41687.0,892.75638839,10991
2024-01-22 00:00:00+00:00,41554.8,41654.2,39410.9,39510.0,40323.0,4093.73353976,35136
2024-01-23 00:00:00+00:00,39510.0,40100.0,38518.0,39844.0,39231.1,3365.92043035,30988
2024-01-24 00:00:00+00:00,39844.0,40492.3,39451.1,40069.8,39930.5,2453.93910708,22651
2024-01-25 00:00:00+00:00,40069.8,40261.7,39556.2,39924.8,39905.3,1465.24653636,16598
2024-01-26 00:00:00+00:00,39924.8,42213.6,39810.4,41814.2,41152.8,3399.17302935,27229
2024-01-27 00:00:00+00:00,41814.3,42194.3,41399.9,42126.3,41783.2,1297.45365748,13460
2024-01-28 00:00:00+00:00,42126.3,42800.0,41651.2,42024.9,42312.0,1693.01208312,16833
2024-01-29 00:00:00+00:00,42025.0,43333.0,41817.8,43269.5,42673.1,1946.95379463,22540
2024-01-30 00:00:00+00:00,43272.7,43857.2,42716.0,42956.0,43418.5,2446.94412456,22857
2024-01-31 00:00:00+00:00,42956.0,43742.3,42300.1,42551.7,42961.3,2838.35239346,22977
2024-02-01 00:00:00+00:00,42551.7,43250.0,41882.5,43075.2,42660.0,2669.02478811,21059
2024-02-02 00:00:00+00:00,43075.3,43431.5,42546.6,43185.9,43081.1,2184.38096499,18075
2024-02-03 00:00:00+00:00,43185.9,43345.2,42900.1,42982.8,43093.5,526.15799578,10467
2024-02-04 00:00:00+00:00,42982.8,43091.1,42232.8,42591.4,42791.4,629.56386931,10772
2024-02-05 00:00:00+00:00,42591.3,43489.0,42250.9,42650.0,42767.9,1582.95704238,20053
2024-02-06 00:00:00+00:00,42650.0,43339.7,42530.3,43085.0,42972.6,1340.59799225,17580
2024-02-07 00:00:00+00:00,43085.0,44362.0,42763.7,44333.6,43484.3,3765.68949635,23295
2024-02-08 00:00:00+00:00,44333.7,45606.2,44333.7,45329.6,44941.7,3551.71897942,29430
2024-02-09 00:00:00+00:00,45329.6,48188.5,45258.8,47127.0,46918.2,5688.46558971,44582
2024-02-10 00:00:00+00:00,47127.1,48154.0,46900.0,47773.2,47442.9,1605.66098504,18326
2024-02-11 00:00:00+00:00,47766.2,48590.0,47580.9,48295.0,48225.7,1781.36073625,21288
2024-02-12 00:00:00+00:00,48295.0,50339.5,47642.0,49943.7,49395.0,5147.57339488,37650
2024-02-13 00:00:00+00:00,49943.7,50390.2,48240.0,49755.4,49357.1,3982.47498943,30280
2024-02-14 00:00:00+00:00,49750.1,52136.8,49255.2,51835.1,51182.4,4718.31045495,43123
2024-02-15 00:00:00+00:00,51835.2,52843.0,51335.2,51947.1,52023.5,4193.46649497,39762
2024-02-16 00:00:00+00:00,51947.1,52574.2,51625.0,52185.3,52071.8,2064.57876753,24426
2024-02-17 00:00:00+00:00,52185.3,52192.0,50581.2,51700.0,51375.1,2108.88563124,22226
2024-02-18 00:00:00+00:00,51700.1,52392.1,51231.1,52156.3,51856.2,1645.27261209,20234
2024-02-19 00:00:00+00:00,52157.1,52475.6,51704.8,51771.1,52151.9,1628.6291871,20670
2024-02-20 00:00:00+00:00,51771.2,52991.8,50663.7,52270.1,51926.9,4612.93475308,31235
2024-02-21 00:00:00+00:00,52270.1,52359.9,50636.4,51866.9,51351.3,2178.54135636,28718
2024-02-22 00:00:00+00:00,51866.9,52035.0,50890.2,51300.1,51575.2,1926.74006003,24141
2024-02-23 00:00:00+00:00,51300.1,51472.4,50456.0,50739.4,51031.4,1510.21978084,22003
2024-02-24 00:00:00+00:00,50739.4,51650.0,50589.7,51554.5,51204.8,942.00205046,15680
2024-02-25 00:00:00+00:00,51554.5,51936.7,51300.0,51733.8,51686.3,1220.61894467,14195
2024-02-26 00:00:00+00:00,51733.8,54920.0,50950.0,54525.4,53151.3,5241.13945742,43438
2024-02-27 00:00:00+00:00,54525.4,57572.6,54478.8,57072.6,56401.0,5285.87451429,50826
2024-02-28 00:00:00+00:00,57066.2,64015.8,56000.4,62487.8,60364.4,10911.28773542,106181
